suite,term,dataset_id,model_id,capability_id,capability_level,paired_view_count,mase_degradation_mean,mase_degradation_median,positive_degradation_fraction,full_input_mase_mean,ablated_input_mase_mean,response_ratio_mean
gift,long,gift_ett2_h,toto2.0,common_factor,4,3,-0.03053448572946586,0.003773267237712652,0.6666666666666666,1.527470155161117,1.496935669431651,0.19904080563872292
gift,long,gift_ett2_h,toto2.0,common_factor,5,3,-0.021294756326648494,0.039618143345681034,0.6666666666666666,1.7482179969945442,1.7269232406678958,0.18209035605602655
gift,long,gift_ett2_h,toto2.0,cross_series_dependence,1,3,-0.013707504761153455,-0.06035866566166326,0.3333333333333333,2.001162607989332,1.9874551032281786,2.5540465812635174
gift,long,gift_ett2_h,toto2.0,cross_series_dependence,2,3,-0.02356087228692257,-0.09232204744755257,0.3333333333333333,2.166817215173989,2.143256342887066,1.4670429861321714
gift,long,gift_ett2_h,toto2.0,cross_series_dependence,3,3,-0.03023552754961778,-0.10729469084444432,0.3333333333333333,2.319744071342342,2.289508543792724,1.084171985371938
gift,long,gift_ett2_h,toto2.0,cross_series_dependence,4,3,-0.03242130228265679,-0.13848420796684424,0.3333333333333333,2.5570786926633757,2.524657390380719,0.7683633034416948
gift,long,gift_ett2_h,toto2.0,cross_series_dependence,5,3,-0.010787989052127708,-0.14000729952956403,0.3333333333333333,2.828303657952006,2.8175156688998775,0.5580597330589766
gift,long,gift_jena_weather_h,Chronos-2,common_factor,1,2,-0.09023919832883154,-0.09023919832883154,0.5,1.4929288198137507,1.4026896214849192,0.5484821634153657
gift,long,gift_jena_weather_h,Chronos-2,common_factor,2,2,-0.09337382867710031,-0.09337382867710031,0.5,1.4983443258233842,1.404970497146284,0.3524153550554616
gift,long,gift_jena_weather_h,Chronos-2,common_factor,3,2,-0.09655473131241687,-0.09655473131241687,0.5,1.5118528922865355,1.4152981609741189,0.2907527900668996
gift,long,gift_jena_weather_h,Chronos-2,common_factor,4,2,-0.09496160264836467,-0.09496160264836467,0.5,1.541154168972431,1.4461925663240662,0.22343748954118536
gift,long,gift_jena_weather_h,Chronos-2,common_factor,5,2,-0.07851832865421504,-0.07851832865421504,0.5,1.5940329903696087,1.5155146617153936,0.16287651938359074
gift,long,gift_jena_weather_h,Chronos-2,cross_series_dependence,1,2,-0.09916401986440798,-0.09916401986440798,0.0,1.401146124607435,1.301982104743027,0.6711263967214391
gift,long,gift_jena_weather_h,Chronos-2,cross_series_dependence,2,2,-0.10336582477375034,-0.10336582477375034,0.0,1.409012028320638,1.3056462035468877,0.4428233888011791
gift,long,gift_jena_weather_h,Chronos-2,cross_series_dependence,3,2,-0.08084377576383894,-0.08084377576383894,0.0,1.4265185306757726,1.3456747549119337,0.2609955844616456
gift,long,gift_jena_weather_h,Chronos-2,cross_series_dependence,4,2,-0.05793285769548889,-0.05793285769548889,0.5,1.4826746727543358,1.424741815058847,0.16853950087189817
