suite,benchmark,horizon_group,model_id,capability_id,capability_level,treatment_mase_task_equal,treatment_mae_task_equal,task_count
FEV-Mini20,FEV-Bench,native,Chronos-2,time_varying_seasonality,5,2.447684265,23701.63842,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,5,2.430072798,24861.22089,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,time_varying_seasonality,5,2.023614071,20721.74064,20
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,5,2.394812597,25880.1773,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,5,1.950242562,22375.65625,20
FEV-Mini20,FEV-Bench,native,tirex2,time_varying_seasonality,5,2.252637895,20552.55416,20
FEV-Mini20,FEV-Bench,native,toto2.0,time_varying_seasonality,5,1.734764313,15974.06191,20
FEV-Mini20,FEV-Bench,native,Chronos-2,trend,1,1.92689559,24783.88605,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,trend,1,1.787636187,23908.38719,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,trend,1,1.691576449,22119.95373,18
FEV-Mini20,FEV-Bench,native,moirai2,trend,1,1.618885449,24684.54574,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,trend,1,1.474518032,21097.18676,18
FEV-Mini20,FEV-Bench,native,tirex2,trend,1,1.750577934,20487.80649,18
FEV-Mini20,FEV-Bench,native,toto2.0,trend,1,1.603051993,21734.91367,18
FEV-Mini20,FEV-Bench,native,Chronos-2,trend,2,1.931206216,25068.65651,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,trend,2,1.795803956,24640.37774,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,trend,2,1.706604919,21868.53731,18
FEV-Mini20,FEV-Bench,native,moirai2,trend,2,1.620170487,24713.0595,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,trend,2,1.469752439,21142.23428,18
FEV-Mini20,FEV-Bench,native,tirex2,trend,2,1.742944724,20369.29329,18
FEV-Mini20,FEV-Bench,native,toto2.0,trend,2,1.59431105,21651.032,18
FEV-Mini20,FEV-Bench,native,Chronos-2,trend,3,1.937799075,25491.26596,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,trend,3,1.79798661,25294.39634,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,trend,3,1.716616773,22138.98898,18
FEV-Mini20,FEV-Bench,native,moirai2,trend,3,1.622624463,24725.02743,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,trend,3,1.467248595,21186.91783,18
FEV-Mini20,FEV-Bench,native,tirex2,trend,3,1.72618883,20276.34163,18
FEV-Mini20,FEV-Bench,native,toto2.0,trend,3,1.589327899,21503.65936,18
FEV-Mini20,FEV-Bench,native,Chronos-2,trend,4,1.944644084,26069.29895,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,trend,4,1.825565142,24553.26018,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,trend,4,1.729159443,22012.08483,18
FEV-Mini20,FEV-Bench,native,moirai2,trend,4,1.627448422,24768.55739,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,trend,4,1.464875127,21200.56771,18
FEV-Mini20,FEV-Bench,native,tirex2,trend,4,1.732101389,20051.62267,18
FEV-Mini20,FEV-Bench,native,toto2.0,trend,4,1.586968217,21716.34192,18
FEV-Mini20,FEV-Bench,native,Chronos-2,trend,5,1.951922367,26796.23067,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,trend,5,1.830022754,23834.63682,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,trend,5,1.74081798,22064.35691,18
